GW_CSA_AAA,Strengthened Security Patrol 
TEXT_TOOLTIP_PHALANX_RESEARCH,Empire of the Hand engineers begin work on a new destroyer type as a follow-up to the Chiss Syndic-class Destroyer.
TEXT_TOOLTIP_PHALANX_SHIELD,Shields: 7500 / [56.25/R] (Capital)
TEXT_TOOLTIP_PHALANX_SQUADRON,Fighters: 2 / 4
TEXT_TOOLTIP_PHALANX_WEAP1,6x Heavy Dual Megamasers: 2 / 2.0s / 7.3km
TEXT_TOOLTIP_PHALANX_WEAP2,2x Medium Quad Megamasers: 2 / 1.5s / 6.3km
TEXT_TOOLTIP_PHALANX_WEAP3,4x Heavy Dual Ion Cannons: 2 / 2.0s / 7.3km
TEXT_TOOLTIP_PHALANX_WEAP4,2x Assault Concussion Missiles: 6 / 12.0s / 7.3km
TEXT_TOOLTIP_PHILLIP_SANTHE,The only surviving heir of Lady Valles Santhe, Phillip is a resentful man impatient to inherit his fortune and control of the family business. He is a talented engineer, but has no aptitude for politics and diplomacy and remains a staunch Imperial supporter, oblivious of the public sentiment of his planet and the covert Rebel sympathies of his son.
TEXT_TOOLTIP_PHILLIP_SANTHE_VEHICLE_REPAIR,1x Vehicle Repair: 5 / 1.0s / 120m
TEXT_TOOLTIP_PHINEAS,Phineas is a retired Imperial captain who served as Baruche Sloane's right hand man aboard the Enforce. Phineas is devoted to Sloane and will do anything to advance their status along with himself. He possesses a convincing friendly facade that he uses to toy with smugglers, but is a cold and calculating man under the surface.
TEXT_TOOLTIP_PHULIK,Phulik was one of Isard's captains sent to prevent the New Republic’s rescue of Sate Pestage from Ciutric IV. His ship was damaged in the battle, and he stayed with Krennel after it was repaired.
TEXT_TOOLTIP_PIRATE_BASE_1,Rihkxyrk Assault Fighter Squadron: 4 / ∞
TEXT_TOOLTIP_PIRATE_BASE_2,Interceptor IV Frigate [ZSINJ]: 3 / 3
TEXT_TOOLTIP_PIRATE_BASE_3,IPV1 Gunboat [HUTTS]: 3 / 3
TEXT_TOOLTIP_PIRATE_BASE_4,Marauder Cruiser (Missile) [HUTTS]: 6 / 0
TEXT_TOOLTIP_PIRATE_BASE_5,Space ARC Star Cruiser [ZSINJ]: 3 / 0
TEXT_TOOLTIP_PIRATE_BASE_6,PDF Dreadnaught Heavy Cruiser [HUTTS]: 4 / 0
TEXT_TOOLTIP_PIRATE_BASE_7,Modified Super Transport XI [ZSINJ]: 2 / 0
TEXT_TOOLTIP_PIRATE_BASE_8,Venator Refit [HUTTS]: 2 / 0
TEXT_TOOLTIP_PITTA,Danetta Pitta was a Near-Human who served in the Imperial Navy and was one of the original twelve Grand Admirals. A rabid xenophobe, Pitta was one of the fiercest champions of Human High Culture in the Galactic Empire. He carried out multiple genocidal campaigns in the Outer Rim Territories, depopulating non-Human worlds. After Endor, Pitta took command of a Torpedo Sphere and became the unofficial protector of the Corellian sector after bribing the local diktat.
TEXT_TOOLTIP_PRAETOR_CARRIER,Derivative of the Praetor-II design that strips out hull space and weapons systems to serve as a massive fleet carrier. Often used as a secondary flagship in large fleets or as the sector command vessel in priority Outer Rim sectors, though was even less popular than its contemporary battlecruiser base.
TEXT_TOOLTIP_PRAETOR_CARRIER_HULL,Hull: 31360 (Capital)
TEXT_TOOLTIP_PRAETOR_CARRIER_MOVE,Speed: 2.8 | Accel: 0.1 | Turn: 0.175
TEXT_TOOLTIP_PRAETOR_CARRIER_SHIELD,Shields: 32000 / [80/R] (Capital)
TEXT_TOOLTIP_PRAETOR_CARRIER_SQUADRON,Fighters: 6 / 24 | Bombers: 6 / 24
TEXT_TOOLTIP_PRAETOR_CARRIER_WEAP1,18x Heavy Quad Turbolasers: 2 / 5.0s / 7.9km
TEXT_TOOLTIP_PRAETOR_CARRIER_WEAP2,10x Medium Turbolasers: 2 / 2.0s / 6.9km
TEXT_TOOLTIP_PRAETOR_CARRIER_WEAP3,5x Heavy Dual Ion Cannons: 2 / 5.0s / 7.9km
TEXT_TOOLTIP_PRAETOR_CARRIER_WEAP4,12x Medium Ion Cannons: 2 / 2.0s / 6.9km
TEXT_TOOLTIP_PRAETOR_II,The larger successor of the Praetor-I originally built for the Empire, the Praetor-II was yet less versatile, than the standard Imperial Star Destroyer. It was largely neglected as a result, and, although not as terrifying as the newer star dreadnoughts, the Praetor-II remained popular with Imperial commanders undertaking dangerous assignments at the fringes of the galaxy.
TEXT_TOOLTIP_PRAETOR_II_HULL,Hull: 38430 (Capital)
TEXT_TOOLTIP_PRAETOR_II_MOVE,Speed: 2.8 | Accel: 0.1 | Turn: 0.175
TEXT_TOOLTIP_PRAETOR_II_SHIELD,Shields: 35000 / [87.5/R] (Capital)
TEXT_TOOLTIP_PRAETOR_II_SQUADRON,Fighters: 3 / 7
TEXT_TOOLTIP_PRAETOR_II_WEAP1,30x Heavy Quad Turbolasers: 2 / 5.0s / 8.0km
TEXT_TOOLTIP_PRAETOR_II_WEAP2,12x Medium Dual Turbolasers: 2 / 3.0s / 7.0km
TEXT_TOOLTIP_PRAETOR_II_WEAP3,5x Heavy Dual Ion Cannons: 2 / 5.0s / 8.0km
TEXT_TOOLTIP_PRAETOR_II_WEAP4,12x Medium Dual Ion Cannons: 2 / 4.0s / 7.0km
TEXT_TOOLTIP_PRAJI,Nahdonnis was a scion of the prestigious Praji family who enlisted soon after the Clone Wars and served as Darth Vader's aide. Praji followed various warlords after Endor, but though he eagerly swore fealty to the resurrected Emperor and took Kaikielius (seat of long-time rivals), he soon found the new theocracy was not to his liking and retired to governorship.
TEXT_TOOLTIP_PREDOMINANT_SQUADRON,Fighters: 3 / 5 | Bombers: 0.5 / 0.5
TEXT_TOOLTIP_PRENTIOCH,Moff of the Sombure sector, Utoxx Prentioch quickly formed his own dominion after the battle of Endor. Through various surveys and treaties, Prentioch justified a series of invasions in neighboring sectors and established a powerful warlord state.
TEXT_TOOLTIP_PREYBIRD,A sturdy SoroSuub heavy snubfighter with impressive durability which was initially developed as the Drexl-class and saw poor popularity until pressed into service by Imperial remnants to replace losses taken to TIE forces.
TEXT_TOOLTIP_PRIDE_OF_YEVETHA,Known as the Intimidator before the Yevetha took over the Black Fleet, the Pride of Yevetha has become the backbone of Nil Spaar's fleet.
TEXT_TOOLTIP_PRINCE_MILITAIRE,A clever leader of the secretive Paataatus who was able to secretly negotiate an accord with Thrawn while under the guns of Nikardun occupiers.
TEXT_TOOLTIP_PRITTICK,Prittick was present at the Battle of Endor and, as a result of the death or capture of the more senior commanders, was the ranking admiral after Gilad Pellaeon called for the retreat to Annaj.
TEXT_TOOLTIP_PROCURSATOR,A destroyer that falls between the Victory and Imperial series in tonnage. It was intended as a no-frills wartime destroyer and shares traits with the larger Tector and Allegiance classes such as a lack of fighter bay. Focuses more on a balanced weapon loadout rather than purely anti-ship and can serve as a durable screening vessel.
TEXT_TOOLTIP_PROCURSATOR_HULL,Hull: 5600 (Capital)
TEXT_TOOLTIP_PROCURSATOR_MOVE,Speed: 4.55 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_PROCURSATOR_SHIELD,Shields: 5000 / [62.5/R] (Heavy Frigate)
TEXT_TOOLTIP_PROCURSATOR_WEAP1,3x Heavy Triple Turbolasers: 1 / 5.0s / 7.2km
TEXT_TOOLTIP_PROCURSATOR_WEAP2,6x Light Quad Turbolasers: 2 / 4.6s / 5.2km
TEXT_TOOLTIP_PROCURSATOR_WEAP3,4x Light Dual Laser Cannons: 2 / 0.5s / 3.7km
TEXT_TOOLTIP_PROCURSATOR_WEAP4,2x Assault Concussion Missiles: 6 / 24.9s / 7.2km
TEXT_TOOLTIP_PROFICIENT,Combat-oriented refit of a modular cruiser. The Proficient is a large but underpowered warship quickly designed after the Battle of Endor as a cash-grab amongst the chaos of the times. Internal compartments have been fitted with fighter and munitions bays.
TEXT_TOOLTIP_PROFICIENT_FLEET_TENDER,Fleet Tender: 100 / 1.0s / 2.7km
TEXT_TOOLTIP_PROFICIENT_HULL,Hull: 3300 (Heavy Frigate)
TEXT_TOOLTIP_PROFICIENT_MOVE,Speed: 5.6 | Accel: 0.25 | Turn: 0.3
TEXT_TOOLTIP_PROFICIENT_SHIELD,Shields: 3000 / [45/R] (Heavy Frigate)
TEXT_TOOLTIP_PROFICIENT_SQUADRON,Fighters: 1 / 2 | Bombers: 0.5 / 1
TEXT_TOOLTIP_PROFICIENT_TENDER,Fleet Support refit of a modular cruiser. The Proficient is a large but underpowered vessel quickly designed after the Battle of Endor as a cash grab amongst the turbulent times. Modular internal bays have been fitted with support gear and supplies while hull segments deemed unnecessary are removed.
TEXT_TOOLTIP_PROFICIENT_TENDER_HULL,Hull: 2800 (Heavy Frigate)
TEXT_TOOLTIP_PROFICIENT_TENDER_SHIELD,Shields: 2800 / [42/R] (Heavy Frigate)
TEXT_TOOLTIP_PROFICIENT_TENDER_SQUADRON,Fighters: 1 / 1
TEXT_TOOLTIP_PROFICIENT_WEAP1,2x Heavy Turbolasers: 2 / 2.0s / 7.2km
TEXT_TOOLTIP_PROFICIENT_WEAP2,4x Medium Ion Cannons: 2 / 2.0s / 6.2km
TEXT_TOOLTIP_PROFICIENT_WEAP3,1x Proton Torpedo: 4 / 15.0s / 5.2km
TEXT_TOOLTIP_PROLIPSI,After Thrawn's encounter with the Vagaari ship nets, the Chiss began work on a vessel of their own which could utilize the technology of interdiction. Although now somewhat outdated and not intended for frontline service, the Prolipsi continues to serve Chiss and Empire of the Hand fleets in this capacity.
TEXT_TOOLTIP_PROLIPSI_HULL,Hull: 2400 (Frigate)
TEXT_TOOLTIP_PROLIPSI_MOVE,Speed: 2.5 | Accel: 0.2 | Turn: 0.3
TEXT_TOOLTIP_PROLIPSI_SHIELD,Shields: 2500 / [18.75/R] (Frigate)
TEXT_TOOLTIP_PROLIPSI_SQUADRON,Fighters: 0.5 / 1
TEXT_TOOLTIP_PROLIPSI_WEAP1,2x Medium Megamasers: 2 / 4.0s / 6.1km
TEXT_TOOLTIP_PROLIPSI_WEAP2,4x Medium Dual Maser Cannons: 2 / 1.0s / 4.1km
TEXT_TOOLTIP_PROST,Prost was a captain of the Imperial Starfleet caught in the turbulent times after the Emperor's death. His task force found itself reacting not only to a rapidly strengthening New Republic, but also a Corporate Sector Authority fleet under Baruche Sloane exploiting the chaos to expand their influence.
TEXT_TOOLTIP_PROTECTORATE_I_SPECIAL,Special: Payback Squadron
TEXT_TOOLTIP_PROTEUS_FIGHTER_HEROES_BLACKSTAR,Tam Blackstar (Dark Blade Squadron)
TEXT_TOOLTIP_PROTEUS_FIGHTER_HEROES_BLOCK,=================FIGHTER HEROES==================
TEXT_TOOLTIP_PROTEUS_FIGHTER_HEROES_DEATHFIRE,"Deathfire" McDibbs (TIE Bomber Squadron) | Default Hero: Raveen
TEXT_TOOLTIP_PROTEUS_FIGHTER_HEROES_LORRIR,Lorrir (TIE Interceptor Squadron) | Default Hero: Delak Krennel
TEXT_TOOLTIP_PROTEUS_FIGHTER_HEROES_SILVERLINE,Silverline (TIE Oppressor Squadron) | Default Hero: Quarsh Panaka
TEXT_TOOLTIP_PROTEUS_SWAPS_BLOCK,=================LOCKED UNITS==================
TEXT_TOOLTIP_PROTEUS_UNITS_BLOCK,=================SPECIAL UNITS==================
TEXT_TOOLTIP_PRYL,Tanda Pryl came from an influential family, assuring her a spot within the naval academy. She proved capable and had a meteoric rise to captain of the ISD Thunderflare assigned to the Elrood Sector. Pryl would develop a fascination with Force sensitives from reading of Luke Skywalker, developing a goal to find those gifted in the Force to either turn them to the dark side or eradicate them. Before the Battle of Endor her ship was assigned to Darth Vader's Death Squadron, but in the wake of the fleets break-up she returned to Elrood. Pryl had a fierce rivalry with captain Akal Zed, who she considered a buffoon.
TEXT_TOOLTIP_PRYL_SPECIAL,Special: Obsidian Squadron
TEXT_TOOLTIP_PTER_THANAS,Pter Thanas was a Coruscanti Imperial Navy commander who defected to the Rebel Alliance after the Bakura Incident during the Galactic Civil War. Thanas was noted as a diplomatic officer of the Imperial Starfleet, known for his ability to rule successfully without using fear as a motivator.
TEXT_TOOLTIP_PULSAR_CRUISER,The isolation of the Hapan cluster has resulted in their divergent tech from galactic standard. The Pulsar is the culmination in the Hapan advances in the field of Ion weaponry as it sports a massive ion cannon which can cripple ships much larger than itself. However the Pulsar is overly specialised as it lacks normal weapon systems, shielding, and armour as its hull is dedicated nearly entirely to the main ion weapons leaving the Pulsar as a support ship which needs protection at all times.
TEXT_TOOLTIP_PULSAR_CRUISER_HULL,Hull: 2100 (Heavy Frigate)
TEXT_TOOLTIP_PULSAR_CRUISER_MOVE,Speed: 4.2 | Accel: 0.15 | Turn: 0.35
TEXT_TOOLTIP_PULSAR_CRUISER_SHIELD,Shields: 3000 / [52.5/R] (Heavy Frigate)
TEXT_TOOLTIP_PULSAR_CRUISER_WEAP1,2x Ultraheavy Ion Cannons: 1 / 3.33s / 8.1km
TEXT_TOOLTIP_PULSAR_CRUISER_WEAP2,2x Heavy Triple Ion Cannons: 2 / 3.33s / 7.1km
TEXT_TOOLTIP_PULSAR_CRUISER_WEAP3,2x Light Dual Laser Cannons: 2 / 0.25s / 3.6km
TEXT_TOOLTIP_PULSAR_SKATE_HULL,Hull: 500 (Gunship)
TEXT_TOOLTIP_PULSAR_SKATE_MOVE,Speed: 3.25 | Accel: 0.07 | Turn: 3.0
TEXT_TOOLTIP_PULSAR_SKATE_SHIELD,Shields: 350 / [10/R] (Gunship)
TEXT_TOOLTIP_PULSAR_SKATE_WEAP1,1x Fighter Laser Cannon: 8 / 0.5s / 2.0km
TEXT_TOOLTIP_PULSAR_SKATE_WEAP2,1x Fighter Laser Cannon: 2 / 2.0s / 2.0km
TEXT_TOOLTIP_PULSAR_SKATE_WEAP3,1x Fighter Ion Cannon: 2 / 2.0s / 2.0km
TEXT_TOOLTIP_PURSUIT,The Pursuit-class is an unconventional vessel, sporting a small set of heavy guns it can use for long range fire support and laser cannons to defend against enemy strike craft.
TEXT_TOOLTIP_PURSUIT_HULL,Hull: 1640 (Frigate)
TEXT_TOOLTIP_PURSUIT_MOVE,Speed: 5.6 | Accel: 0.225 | Turn: 0.4
TEXT_TOOLTIP_PURSUIT_SHIELD,Shields: 1700 / [29.75/R] (Frigate)
TEXT_TOOLTIP_PURSUIT_SQUADRON,Fighters: 1 / 1
TEXT_TOOLTIP_PURSUIT_WEAP1,2x Heavy Dual Turbolasers: 1 / 5.0s / 7.1km
TEXT_TOOLTIP_PURSUIT_WEAP2,2x Heavy Turbolasers: 2 / 2.5s / 7.1km
TEXT_TOOLTIP_PURSUIT_WEAP3,2x Heavy Laser Cannons: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_PX10,The PX-10 is a one-man tracked assault vehicle suited to anti-infantry duties on rugged worlds where larger vehicles such as the AT-ST and AT-AT are deemed unnecessary.
TEXT_TOOLTIP_PX10_COMPANY,Company: 6x PX-10 Compact Assault Vehicle
TEXT_TOOLTIP_PX10_HEALTH,Health: 100 [5%/5s] (Light Vehicle)
TEXT_TOOLTIP_PX10_MOVE,Speed: 3.0 | Turn: 4.0 
TEXT_TOOLTIP_PX10_WEAP1,1x AI Blaster Cannon (AOE): 4 / 1.0s / 320m
TEXT_TOOLTIP_PX4,A heavily armored tracked command vehicle that is intended to provide a more resilient command facility than a Chariot LAV and often converted into a mobile operations base by Imperial officials in hazardous territories. It is durable but lacking in firepower compared to other vehicles its size.
TEXT_TOOLTIP_PX4_COMPANY,Company: 2x PX-4 Mobile Command Base
TEXT_TOOLTIP_PX4_HEALTH,Health: 500 (Heavy Vehicle)
TEXT_TOOLTIP_PX4_MOVE,Speed: 1.75 | Turn: 3.0 
TEXT_TOOLTIP_PX4_WEAP1,1x Heavy AV Blaster Cannon: 1 / 2.0s / 400m
TEXT_TOOLTIP_PX7,The PX-7 Troop Transport, simply known as the troop carrier by boots on the ground, is designed for quick and efficient deployment of Imperial troops. Its unassuming appearance belies the fact the troop carrier can move a massive number of army personnel on land, giving it an edge over transport by AT-AT or ferry shuttle. The PX-7 is minimally armed, decked with only a single anti-vehicle gun and decent armor plating. This makes the troop carrier not suited for sustained assaults on its own, but when loaded with infantry it can smash and grab critical locations with efficacy.
TEXT_TOOLTIP_PX7_COMPANY,Company: 3x PX-7 Troop Transport
TEXT_TOOLTIP_PX7_HEALTH,Health: 300 (Medium Vehicle)
TEXT_TOOLTIP_PX7_MOVE,Speed: 2.25 | Turn: 3.0 
TEXT_TOOLTIP_PX7_WEAP1,1x AV Blaster Cannon: 2 / 2.0s / 320m
TEXT_TOOLTIP_QUA,Chancellor Qua of the Zenox Star Cluster was a man comfortable with the upper echelons of society, able to hobnob with the likes of Thalassa Tarkin or the Most High Proctor of Thebeon 8. Though there were those who considered him an Imperial lackey, his territory was deep in strongholds of the Empire and he personally benefited handsomely from the arrangement.
TEXT_TOOLTIP_QUASAR,A modified SoroSuub freighter that was redesigned by the Rebel Alliance to fulfil a light-carrier role. This ship is particularly fragile and bears only a light armament of anti-starfighter laser turrets.
TEXT_TOOLTIP_QUASAR_HULL,Hull: 700 (Frigate)
TEXT_TOOLTIP_QUASAR_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 0.45
TEXT_TOOLTIP_QUASAR_SHIELD,Shields: 600 / [12/R] (Frigate)
TEXT_TOOLTIP_QUASAR_SQUADRON,Fighters: 1 / 1 | Bombers: 1 / 2
TEXT_TOOLTIP_QUASAR_SQUADRON_NONE,Fighters: - / - | Bombers: - / -
TEXT_TOOLTIP_QUASAR_WEAP1,1x Light Turbolaser: 2 / 2.5s / 5.1km
TEXT_TOOLTIP_QUASAR_WEAP2,2x Light Laser Cannons: 2 / 1.0s / 3.6km
TEXT_TOOLTIP_QUILLER,Compatriot of Daric LaRone, Joak Quiller was one of the five members of the Hand of Judgment vigilante group. During their service in the Empire, after Daric LaRone had killed their superior officer, Quiller knew he would be considered complicit in his superior's death. When LaRone had defected, Quiller joined, and would become a valued member of their new group.
TEXT_TOOLTIP_RADDUS,Raddus was from the polar regions of Mon Calamari, and proved himself as a gifted military leader as tensions rose between the Empire and his world. He was quick to join the Rebel Alliance and soon became one of its most important commanders.
TEXT_TOOLTIP_RAGAB,Mon Calamari officer who served in the New Republic Navy as part of the Second Fleet under Hiram Drayson.
TEXT_TOOLTIP_RAGEZ_DASTA,The Baron Ragez D'Asta was an ardent supporter of Emperor Palpatine and a member of the Ruling Council. His vast merchant fleets and security apparatus of the D'Astan Sector were vital to the Empire in the chaos after Endor, and he continued to be closely involved even as his health decayed. The Baron highly valued honor in men such as Gilad Pellaeon and had little respect when it was lacking.
TEXT_TOOLTIP_RAIDER,A fast, effective anti-fighter corvette with a heavy weapons load. It was designed by Lira Wessex to be a KDY-produced escort smaller than a Lancer and to assist hyperdrive-equipped smallcraft on missions. It is best used to protect larger ships from enemy bombers in a mobile role.
TEXT_TOOLTIP_RAIDER_HULL,Hull: 650 (Corvette)
TEXT_TOOLTIP_RAIDER_II,Later configuration of the Raider that is primarily armed for anti-ship duties. Trades out most of the anti-fighter weaponry and physical munitions for a mix of turbolasers and ion cannon mounts. It is best used for support fire against larger vessels in numbers or as a wolfpack.
TEXT_TOOLTIP_RAIDER_II_HULL,Hull: 650 (Corvette)
TEXT_TOOLTIP_RAIDER_II_MOVE,Speed: 7.0 | Accel: 0.3 | Turn: 0.65
TEXT_TOOLTIP_RAIDER_II_SHIELD,Shields: 550 / [11/R] (Corvette)
TEXT_TOOLTIP_RAIDER_II_WEAP1,4x Medium Turbolasers: 1 / 5.0s / 6.0km
TEXT_TOOLTIP_RAIDER_II_WEAP2,2x Medium Ion Cannons: 1 / 5.0s / 6.0km
TEXT_TOOLTIP_RAIDER_II_WEAP3,2x Light Quad Laser Cannons: 2 / 5.0s / 3.5km
TEXT_TOOLTIP_RAIDER_MOVE,Speed: 7.0 | Accel: 0.3 | Turn: 0.65
TEXT_TOOLTIP_RAIDER_PD,Point-Defense: 1 / 0.47s / 1.25km
TEXT_TOOLTIP_RAIDER_SHIELD,Shields: 550 / [11/R] (Corvette)
TEXT_TOOLTIP_RAIDER_WEAP1,6x Light Dual Rapid Laser Cannons: 6 / 5.0s / 3.0km
TEXT_TOOLTIP_RAIDER_WEAP2,2x Concussion Missiles: 1 / 20.0s / 4.0km
TEXT_TOOLTIP_RAJU,The standard bearer of the Paccosh Governance's military, the Raju's missiles and heavy turbolasers can deal devastating damage from a long distance. Its focused heavy armaments necessitate escorts if they come under fire from starfighters.
TEXT_TOOLTIP_RAJU_HULL,Hull: 5600 (Heavy Frigate)
TEXT_TOOLTIP_RAJU_MOVE,Speed: 4.55 | Accel: 0.15 | Turn: 0.3
TEXT_TOOLTIP_RAJU_SHIELD,Shields: 3800 / [28.5/R] (Heavy Frigate)
TEXT_TOOLTIP_RAJU_WEAP1,4x Heavy Dual Turbolasers: 2 / 4.0s / 7.2km
TEXT_TOOLTIP_RAJU_WEAP2,2x Assault Concussion Missiles: 5 / 5.0s / 7.2km
TEXT_TOOLTIP_RALROOST_SHIELD,Shields: 4200 / [42/R] (Heavy Frigate)
TEXT_TOOLTIP_RAMIER,An ardent supporter of the New Order, Lesan Ramier was made Moff of the Brak Sector as a reward for his service. Fearing a Rebel takeover of the sector, he agreed to a joint Imperial-Lant Mining Corporation takeover of the Aramand Cluster within it. A stern, hardened man who is dedicated to the Emperor, Ramier also realized he is not well-versed in military tactics and relied on the advice of his subordinates in the military for tactical planning.
TEXT_TOOLTIP_RANA_APC,The Rana APC is the military version of a long-running police transporter ubiquitous across the entire Hapes consortium. The APC version gains additional weaponry over its police counterpart while maintaining the same large internal space for troop storage and the internal medical station for rapid trauma response should attached infantry get injured in the field.
TEXT_TOOLTIP_RANA_APC_COMPANY,Company: 2x Rana Armored Personnel Carrier
TEXT_TOOLTIP_RANA_APC_HEALTH,Health: 200 (Medium Vehicle)
TEXT_TOOLTIP_RANA_APC_INFANTRY_HEAL,1x Infantry Healing: 2 / 1.0s / 120m
TEXT_TOOLTIP_RANA_APC_INFANTRY_HEAL_2X,2x Infantry Healing: 2 / 1.0s / 120m
TEXT_TOOLTIP_RANA_APC_MOVE,Speed: 2.0 | Turn: 2.0 
TEXT_TOOLTIP_RANA_APC_SHIELD,Shields: 150 / [5/R] (Medium Vehicle)
TEXT_TOOLTIP_RANA_APC_WEAP1,4x Light AI Blaster Cannons: 2 / 1.0s / 320m
TEXT_TOOLTIP_RANA_APC_WEAP2,1x Proton Grenade: 2 / 12.0s / 320m
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_DEJ_VENNOR,- Dej Vennor (Infantry / Firespray-31 Patrol Craft)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_DYYZ_NATAZ,- Dyyz Nataz (Infantry)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_GREFNAKK,- Grefnakk (Infantry)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_LABANSAT,- Labansat (Infantry)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_MENNDO,- Menndo (Infantry)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_MOXIN_TARK,- Moxin Tark (Infantry)
TEXT_TOOLTIP_RANDOM_BOUNTY_HUNTER_SNOOVA,- Snoova (Infantry)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_FAARL,- Faarl the Conqueror (DP20 Frigate)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_PENDON,- Safonne Pendon (CR90 Corvette)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_RENTHAL,- Drea Renthal (Carrack Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_SKANDREI,- Skandrei Bandits (PDF Dreadnaught Heavy Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_TARGRIM,- Big Jak Targrim (Quasar Fire Escort Carrier)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_TRILLILI,- Chalmer Trillili (Modified YT-1300 Freighter)
TEXT_TOOLTIP_RANDOM_PIRATE_FLEET_XUFUSH,- Abin-Ral-Xufush (Modified CR90 Corvette)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_ANTIG,- Drolen Antig (Modified Etti Lighter)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_BARKBONE,- Reginald Barkbone (Star Galleon Frigate)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_COORSHA,- Coorsha (Ton-Falk Escort Carrier)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_ENTEL,- Jor Entel (Modified YT-1300 Freighter)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_GUNDA_MABIN,- Gunda Mabin (Mixed Armed Freighter Group)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_KAEROBANI,- Kaerobani (Immobilizer 418 Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_MIKTISS,- Miktiss (Modified Action IV Transport)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_MOLEC,- Sono Molec (Modified Corellian Buccaneer)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_SCARLET,- Kath Scarlet (Modified Firespray-31 Patrol Craft)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_SLADER,- Roark Slader (DP20 Frigate)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_SSURUSSK,- Ssurussk (Preybird Squadron)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_STORMTROOPER_X,- Stormtrooper X (N-1 Squadron)
TEXT_TOOLTIP_RANDOM_PIRATE_HERO_TYRUS,- Tyrus (Nebulon-B Frigate)
TEXT_TOOLTIP_RANDOM_PIRATE_LEGEND_HILMA,- Hilma Kim (MC80 Liberty Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_LEGEND_LON_DONELL,- Lon Donell (Immobilizer 418 Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_LEGEND_QUINCE,- Quintik Hahr (Providence Carrier/Destroyer)
TEXT_TOOLTIP_RANDOM_PIRATE_LEGEND_RNEEKII_PIRATES,- Rneekii (MC40a Light Cruiser)
TEXT_TOOLTIP_RANDOM_PIRATE_LEGEND_SAIT,- Andal Sait (Imperial-II Star Destroyer)
TEXT_TOOLTIP_RANULF_TROMMER,Son of an Imperial Admiral, Ranulf Trommer was an experienced TIE pilot. He would gain acclaim for the Battle of Aguarl 3 which saw him destroy a Rebel base with a single bomber. Ranulf would be sent by Grand Moff Hauser to spy on Governor Grigor of M'haeli, but while there he fell in love with Mora, a woman who supported the rebels. While Ranulf at first hoped the Empire's evils were only caused by corrupt men like Grigor, he would come to see the Empire itself as unjust during his time on M'haeli. Ranulf would escape with Mora when Hauser attempted to execute her, declaring his intention to join the Rebel Alliance to the eager acceptance of Leia Organa.
TEXT_TOOLTIP_RAPTOR_74Z_SPEEDER_BIKE_COMPANY,Company: 8x 74-Z Speeder Raptor Scout
TEXT_TOOLTIP_RAPTOR_74Z_SPEEDER_BIKER_HEALTH,Health: 35 (Speeder)
TEXT_TOOLTIP_RAPTOR_COMMANDO,Deadly special forces made of former marines that serve Warlord Zsinj, Raptor Commandos are tasked with the infiltration and destruction of hostile planetary forces. Devoutly loyal to Zsinj, they perform with a ferocity matched only by their capacity for atrocity. Compared to Raptors fitted for occupation duty, these commandos are suited for stealth operations making use of their deadly arsenal of long-range weaponry.
TEXT_TOOLTIP_RAPTOR_COMMANDO_COMPANY,Company: 12x Raptor Commando
TEXT_TOOLTIP_RAPTOR_COMMANDO_COMPANY_WEAP1,6x AV Laser Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_RAPTOR_COMMANDO_COMPANY_WEAP2,6x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_RAPTOR_COMMANDO_HEALTH,Health: 32 (Infantry)
