TEXT_2_WARPOD_SQUADRON,#2 Warpod Squadron
TEXT_TOOLTIP_LUCREHULK,Wartime configuration Lucrehulk that retains the same large carrying capacity of fighters as the converted freighters. Hull modifications increase the durability and allow sufficient weaponry to defend itself and potentially engage multiple enemy vessels. A constant presence of fighter superiority both for its antifighter capabilities and complement.
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER,LH-3210 Cargo Haulers pressed into military service without even the upgrades that the Q-ships famously used at Naboo had. Sheer size, disengaged shield limiters and the swarm of fighters it can carry are the only threat provided by this vessel.
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_HULL,Hull: 20400 (Capital)
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_SHIELD,Shields: 15000 / [37.5/R] (Capital)
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_WEAP1,14x Light Quad Laser Cannons: 2 / 2.50s / 4.1km
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_WEAP2,7x Light Laser Cannons: 2 / 0.13s / 4.1km
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER,Radical core ship modification that turns it into an independent warship. Does away with any semblance of connection to a ring by equipping a proper engine bank instead of the minimal power gravtics of the base design. Deceptively fast and rather durable, but not much of a threat to larger vessels due to still limited weaponry.
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_HULL,Hull: 3924 (Capital)
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_MOVE,Speed: 4.2 | Accel: 0.15 | Turn: 0.3
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_SHIELD,Shields: 3500 / [35/R] (Heavy Frigate)
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_SQUADRON,Fighters: 2 / 4 | Bombers: 1 / 2
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_WEAP1,2x Heavy Turbolasers: 2 / 2.5s / 7.2km
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_WEAP2,7x Light Quad Laser Cannons: 2 / 0.5s / 3.7km
TEXT_TOOLTIP_LUCREHULK_HULL,Hull: 23120 (Capital)
TEXT_TOOLTIP_LUCREHULK_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_LUCREHULK_SHIELD,Shields: 25000 / [62.5/R] (Capital)
TEXT_TOOLTIP_LUCREHULK_SQUADRON,Fighters: 10 / 32 | Bombers: 6 / 24
TEXT_TOOLTIP_LUCREHULK_TRANSPORT,The classic modern Lucrehulk. LH-3210 Cargo Haulers are common cargo and merchant vessels with a respectable amount of modularity. Countless variant designs based on this cargo hauler would work their way into military service in the last years of the Galactic Republic and beyond.
TEXT_TOOLTIP_LUCREHULK_TRANSPORT_SHIELD,Shields: 10000 / [25/R] (Capital)
TEXT_TOOLTIP_LUCREHULK_TRANSPORT_SQUADRON,Fighters: 3 / 10 | Bombers: 1 / 4
TEXT_TOOLTIP_LUCREHULK_WEAP1,15x Medium Turbolasers: 2 / 3.0s / 6.6km
TEXT_TOOLTIP_LUCREHULK_WEAP2,26x Heavy Dual Laser Cannons: 2 / 0.5s / 5.1km
TEXT_TOOLTIP_LUCREHULK_WEAP3,18x Medium Quad Laser Cannons: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_LUCREHULKAUXILIARY,A Lucrehulk model created by up-arming a freighter with retractable weapons mounts. It has weaker firepower and worse armor compared to its more militarized siblings.
TEXT_TOOLTIP_LUCREHULKAUXILIARY_HULL,Hull: 20400 (Capital)
TEXT_TOOLTIP_LUCREHULKAUXILIARY_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_LUCREHULKAUXILIARY_SHIELD,Shields: 25000 / [62.5/R] (Capital)
TEXT_TOOLTIP_LUCREHULKAUXILIARY_SQUADRON,Fighters: 10 / 32 | Bombers: 6 / 24
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP1,1x Medium Turbolaser: 2 / 3.33s / 6.6km
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP2,4x Heavy Laser Cannons: 2 / 0.42s / 5.1km
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP3,2x Medium Quad Laser Cannons: 2 / 0.48s / 4.6km
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP4,14x Medium Quad Laser Cannons: 2 / 1.67s / 4.6km
TEXT_TOOLTIP_LUXURY_BARGE,A large repulsorlift designed as a luxury vessel by Ubrikkian Industries, often favored by wealthy Hutts. Utilizing huge, retractable sails capable of catching winds for leisurely trips, the standard sail barge is intended as a civilian product able to transport large amounts of guests and lacking armor or weapons. Modifications intended to withstand assault increase its armor giving it competent durability, and mounted portable heavy blasters and a powerful deck gun allows it to ward off incursions on the barge's owner.
TEXT_TOOLTIP_LUXURY_BARGE_COMPANY,Company: 1x Luxury-class Sail Barge
TEXT_TOOLTIP_LUXURY_BARGE_HEALTH,Health: 400 (Medium Vehicle)
TEXT_TOOLTIP_LUXURY_BARGE_MOVE,Speed: 1.25 | Turn: 1.0 
TEXT_TOOLTIP_LUXURY_BARGE_WEAP1,1x AV Blaster Cannon: 2 / 2.0s / 400m
TEXT_TOOLTIP_LUXURY_BARGE_WEAP2,20x Light Repeating Blasters: 5 / 1.0s / 240m
TEXT_TOOLTIP_MAELSTROM,An impressive battlecruiser, the Maelstrom is the largest proto-Star Destroyer developed by KDY for the Republic Navy at the outset of the Clone Wars. The Maelstrom is optimized for fleet command duties, and serves just as well as a fleet carrier and planetary siege platform with its powerful defenses and weaponry. Despite these capabilities, the Maelstroms proved unpopular due to the vast amount of resources required to maintain them, and were phased out soon after introduction in favor of more innovative classes. 
TEXT_TOOLTIP_MAELSTROM_HULL,Hull: 8618 (Capital)
TEXT_TOOLTIP_MAELSTROM_MOVE,Speed: 3.85 | Accel: 0.05 | Turn: 0.1
TEXT_TOOLTIP_MAELSTROM_SHIELD,Shields: 8750 / [43.75/R] (Capital)
TEXT_TOOLTIP_MAELSTROM_SQUADRON,Fighters: 2.5 / 5.5 | Bombers: 1 / 3
TEXT_TOOLTIP_MAELSTROM_WEAP1,10x Heavy Dual Turbolasers: 2 / 5.0s / 7.4km
TEXT_TOOLTIP_MAELSTROM_WEAP2,5x Heavy Dual Ion Cannons: 2 / 5.0s / 7.4km
TEXT_TOOLTIP_MAELSTROM_WEAP3,4x Medium Ion Cannons: 2 / 2.0s / 6.4km
TEXT_TOOLTIP_MAELSTROM_WEAP4,2x Assault Concussion Missiles: 7 / 17.5s / 7.4km
TEXT_TOOLTIP_MAELSTROM_WEAP5,6x Light Proton Torpedoes: 5 / 10.0s / 5.4km
TEXT_TOOLTIP_MAL,Open-market artillery platform produced by Merr-Sonn Munitions, popular amongst local and criminal groups and the occasional larger force. Has a complex folding turret able to handle multiple types of missile weaponry, along with shields and decent mobility. While dated, the platform saw a surge in popularity for criminal fighting during the Galactic Civil War.
TEXT_TOOLTIP_MAL_COMPANY,Company: 1x M.A.L.
TEXT_TOOLTIP_MAL_HEALTH,Health: 150 (Medium Vehicle)
TEXT_TOOLTIP_MAL_MOVE,Speed: 1.5 | Turn: 4.0
TEXT_TOOLTIP_MAL_SHIELD,Shields: 50 / [5/R] (Light Vehicle)
TEXT_TOOLTIP_MAL_WEAP1,1x Proton Missile: 8 / 14.8s / 1440m
TEXT_TOOLTIP_MAL_WEAP2,5x Light Concussion Missiles: 1 / 10.0s / 400m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO,Mandalorian infantry armed to assault their enemy from the skies using jetpacks and as much weaponry as they could fit onto them. They are a cut above the standard Mandalorian soldier and are prideful warriors able to cause havoc amidst enemy formations when deployed properly.
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_CAPTAIN_HEALTH,Health: 33 (Infantry)
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY,Company: 18x Mandalorian Commando
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP1,18x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP2,18x Jetpack Proton Missile (AA): 1 / 10.0s / 320m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP3,15x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP4,3x Wrist Flamer: 10 / 10.5s / 220m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_HEALTH,Health: 29 (Infantry)
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_MOVE,Speed: 1.3
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD,Squad: 6x Mandalorian Commando
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP1,6x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP2,6x Jetpack Proton Missile (AA): 1 / 10.0s / 320m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP3,5x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP4,1x Wrist Flamer: 10 / 10.5s / 220m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP1,1x EE-3 Carbine Rifle: 3 / 1.25s / 220m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP2,1x Jetpack Proton Missile (AA): 1 / 10.0s / 320m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP3,1x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP4,1x Wrist Flamer: 10 / 10.5s / 220m
TEXT_TOOLTIP_MANDALORIAN_GROUP,Mandalorian Groups: Unit armour will vary depending on heroes present in battle.
TEXT_TOOLTIP_MANDALORIAN_GROUP_DEATH_WATCH,Mandalorian Group: Death Watch
TEXT_TOOLTIP_MANDALORIAN_GROUP_PROTECTORS,Mandalorian Group: Protectors
TEXT_TOOLTIP_MANDALORIAN_SOLDIER,Standard-rate Mandalorian warriors, usually organized from mercenary or warring factions from Mandalore or its colonies. These infantry are not equipped with jetpacks the more specialized commandos bring to battle, yet remain fearsome foes against enemy infantry using homegrown or market weapons. Mandalorian soldiers are able to hold the line or advance in combat with a warrior's zeal passed down through generations of their culture.
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_CAPTAIN_HEALTH,Health: 30 (Infantry)
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY,Company: 32x Mandalorian Soldier
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP1,28x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP2,4x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP3,32x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP4,8x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_HEALTH,Health: 26 (Infantry)
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_MOVE,Speed: 1.0 
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD,Squad: 8x Mandalorian Soldier
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP1,7x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP2,1x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP3,8x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP4,2x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP1,1x GALAAR-15 Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP2,1x DLT-20A Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP3,1x Wrist Rocket: 1 / 10.0s / 240m
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP4,1x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MANDATOR2,Second design in the venerable humpbacked Mandator-series. The Mandator-II is an overhaul of the Mandator-I frame developed in wartime, with none of the restrictions applied to pre-war vessels. A significant increase in power makes it a premier early member of the full-fledged SSD family.
TEXT_TOOLTIP_MANDATOR2_HULL,Hull: 42240 (Super Capital)
TEXT_TOOLTIP_MANDATOR2_HULL_FS_3,Hull: 28800 (Super Capital)
TEXT_TOOLTIP_MANDATOR2_HULL_FS_4,Hull: 31680 (Super Capital)
TEXT_TOOLTIP_MANDATOR2_MOVE,Speed: 1.4 | Accel: 0.1 | Turn: 0.1
TEXT_TOOLTIP_MANDATOR2_MOVE_FS_3,Speed: 0.25 | Accel: 0.005 | Turn: 0.025
TEXT_TOOLTIP_MANDATOR2_MOVE_FS_4,Speed: 0.5 | Accel: 0.01 | Turn: 0.05
TEXT_TOOLTIP_MANDATOR2_SHIELD,Shields: 42000 / [105/R] (Super Capital)
TEXT_TOOLTIP_MANDATOR2_SHIELD_FS_3,Shields: 8400 / [105/R] (Super Capital)
TEXT_TOOLTIP_MANDATOR2_SHIELD_FS_4,Shields: 14000 / [105/R] (Super Capital)
TEXT_TOOLTIP_MANDATOR2_SQUADRON,Fighters: 5 / 15 | Bombers: 2 / 6
TEXT_TOOLTIP_MANDATOR2_WEAP1,20x Ultraheavy Turbolasers: 2 / 5.0s / 9.2km
TEXT_TOOLTIP_MANDATOR2_WEAP2,22x Heavy Dual Turbolasers: 2 / 5.0s / 8.2km
TEXT_TOOLTIP_MANDATOR2_WEAP3,14x Medium Dual Turbolasers: 2 / 0.99s / 7.2km
TEXT_TOOLTIP_MANDATOR2_WEAP4,5x Heavy Quad Ion Cannons: 2 / 5.0s / 8.2km
TEXT_TOOLTIP_MANDATOR2_WEAP5,14x Medium Dual Ion Cannons: 2 / 0.99s / 7.2km
TEXT_TOOLTIP_MANDATOR2_WEAP6,5x Assault Concussion Missiles: 5 / 12.5s / 8.2km
TEXT_TOOLTIP_MANKVIM,A swarm-based fighter with barely noticeable shields developed by the Techno Union, the design is most recognized for its impressive speed and saw proliferation into the Corporate Sector Authority and civilian markets after the Clone Wars. It is best used to intercept enemy bombers.
TEXT_TOOLTIP_MARAUDER,Originally designed by Sienar as a patrol and escort gunship for the Judicial Forces, the design was declined for purchase by the Republic government proper. Sienar instead ended up selling the hulls to other groups, including the Corporate Sector Authority and various independent groups, where the ships often ended up in pirate hands. It is well suited for supporting other vessels against capital ships.
TEXT_TOOLTIP_MARAUDER_HULL,Hull: 850 (Corvette)
TEXT_TOOLTIP_MARAUDER_MISSILE,A refit of the Marauder-class corvette made by the Rebel Alliance after purchasing stolen Corporate Sector Marauders from smugglers. The base Marauder's laser cannons were removed and its engines downsized to accommodate concussion missile pods, in hopes to make an equivalent to the Empire's Broadside Cruiser. The result allows this Marauder variant to provide devastating missile barrages to vulnerable ships at the expense of speed and maneuverability.
TEXT_TOOLTIP_MARAUDER_MISSILE_HULL,Hull: 750 (Corvette)
TEXT_TOOLTIP_MARAUDER_MISSILE_MOVE,Speed: 5.6 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_MARAUDER_MISSILE_WEAP1,2x Assault Concussion Missiles: 2 / 10.0s / 7.0km
TEXT_TOOLTIP_MARAUDER_MOVE,Speed: 6.3 | Accel: 0.3 | Turn: 0.65
TEXT_TOOLTIP_MARAUDER_PICKET,A refit of the Marauder-class corvette doubling up on its heavy turbolaser batteries while swapping its others for point defense lasers. Seen most often in black markets or Hutt space.
TEXT_TOOLTIP_MARAUDER_PICKET_HULL,Hull: 750 (Corvette)
TEXT_TOOLTIP_MARAUDER_PICKET_PD,Point-Defense: 1 / 0.32s / 1.75km
TEXT_TOOLTIP_MARAUDER_PICKET_WEAP1,2x Heavy Turbolaser: 2 / 5.0s / 7.0km
TEXT_TOOLTIP_MARAUDER_PICKET_WEAP2,6x Heavy Dual Rapid Laser Cannons: 6 / 5.0s / 4.0km
TEXT_TOOLTIP_MARAUDER_SHIELD,Shields: 750 / [15/R] (Corvette)
TEXT_TOOLTIP_MARAUDER_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_MARAUDER_WEAP1,1x Heavy Turbolaser: 2 / 5.0s / 7.0km
TEXT_TOOLTIP_MARAUDER_WEAP2,3x Light Dual Turbolasers: 2 / 5.0s / 5.0km
TEXT_TOOLTIP_MC80_HOT_DEFENDER,An early variant of the large deep-space explorers and utility carriers recognized as the Home One type. This configuration is used primarily as a military asset, increasing the armament to serve a primary purpose as a system defence vessel. Not quite as dangerous as the full conversion star cruisers and assault vessels that will follow later in the lineage.
TEXT_TOOLTIP_MC80_HOT_DEFENDER_HULL,Hull: 13580 (Capital)
TEXT_TOOLTIP_MC80_HOT_DEFENDER_MOVE,Speed: 2.45 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_MC80_HOT_DEFENDER_SHIELD,Shields: 11250 / [28.125/R] (Capital)
TEXT_TOOLTIP_MC80_HOT_DEFENDER_SQUADRON,Fighters: 1 / 2 | Bombers: 1 / 2
TEXT_TOOLTIP_MC80_HOT_DEFENDER_WEAP1,8x Medium Dual Turbolasers: 2 / 2.22s / 6.6km
TEXT_TOOLTIP_MC80_HOT_DEFENDER_WEAP2,8x Medium Ion Cannons: 2 / 2.22s / 6.6km
TEXT_TOOLTIP_MC80_HOT_DEFENDER_WEAP3,8x Medium Laser Cannons: 2 / 0.50s / 4.6km
TEXT_TOOLTIP_MC80_HOT_LINER,Designed by the Mon Calamari for deep space exploration and first contact with alien species, the Home One Subclass of the MC80 line was one of the largest vessels made by the Mon Calamari before the start of the Galactic Civil War. Each Liner was unique although they all shared a roughly similar basic design as the Mon Calamari would design and produce each ship as an individual rather than a production run of a single class of ship. Despite their civilian role, these liners still possessed weapons and decent protection to allow the vessel to protect itself from pirates.
TEXT_TOOLTIP_MC80_HOT_LINER_HULL,Hull: 12000 (Capital)
TEXT_TOOLTIP_MC80_HOT_LINER_MOVE,Speed: 2.45 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_MC80_HOT_LINER_SHIELD,Shields: 12500 / [31.25/R] (Capital)
TEXT_TOOLTIP_MC80_HOT_LINER_SQUADRON,Fighters: 2 / 2 | Bombers: 2 / 2
TEXT_TOOLTIP_MC80_HOT_LINER_WEAP1,8x Medium Turbolasers: 2 / 2.22s / 6.6km
TEXT_TOOLTIP_MC80_HOT_LINER_WEAP2,8x Medium Ion Cannons: 2 / 2.22s / 6.6km
TEXT_TOOLTIP_MERCENARY_COMPANY,Company: 36x Mercenary
TEXT_TOOLTIP_MERCENARY_COMPANY_WEAP1,24x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_COMPANY_WEAP2,4x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_COMPANY_WEAP3,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MERCENARY_COMPANY_WEAP4,4x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_MERCENARY_COMPANY_WEAP5,4x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MERCENARY_HEALTH,Health: 19 (Infantry)
TEXT_TOOLTIP_MERCENARY_LEADER_HEALTH,Health: 22 (Infantry)
TEXT_TOOLTIP_MERCENARY_MOVE,Speed: 0.9 
TEXT_TOOLTIP_MERCENARY_SQUAD,Squad: 9x Mercenary
TEXT_TOOLTIP_MERCENARY_SQUAD_WEAP1,6x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_SQUAD_WEAP2,1x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_SQUAD_WEAP3,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MERCENARY_SQUAD_WEAP4,1x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_MERCENARY_SQUAD_WEAP5,1x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MERCENARY_WEAP1,1x Firelance Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_WEAP2,1x DLT-20A Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MERCENARY_WEAP3,1x RPS-6 Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_MERCENARY_WEAP4,1x MiniMag PTL Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MERCENARY_WEAP5,1x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MIKA,Mika was the younger son of Popara who lived a hidden and frustrated life of a Hutt who could touch the Force but with no one to train him. He rejected his father's focus on legitimate business and created a modified strain of Glitterstim and an underground network to distribute it. With this new "Tempest" spice Mika was able to ensnare a Jedi and enthusiastically began learning the ways of the Force and the lightsaber.
TEXT_TOOLTIP_MILITARY_SOLDIER,Local military units belonging to planetary and sector governing bodies. Decently equipped with purchased common gear and field armor. Overall decent line infantry by galactic standards and exceed poorly equipped troops from poorer or primitive areas.
TEXT_TOOLTIP_MILITARY_SOLDIER_CAPTAIN_HEALTH,Health: 20 (Infantry)
TEXT_TOOLTIP_MILITARY_SOLDIER_COMPANY,Company: 40x Local Military Soldier
TEXT_TOOLTIP_MILITARY_SOLDIER_COMPANY_WEAP1,28x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_COMPANY_WEAP2,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MILITARY_SOLDIER_COMPANY_WEAP3,8x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_COMPANY_WEAP4,8x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MILITARY_SOLDIER_HEALTH,Health: 16 (Infantry)
TEXT_TOOLTIP_MILITARY_SOLDIER_MOVE,Speed: 1.0 
TEXT_TOOLTIP_MILITARY_SOLDIER_SQUAD,Squad: 10x Local Military Soldier
TEXT_TOOLTIP_MILITARY_SOLDIER_SQUAD_WEAP1,7x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_SQUAD_WEAP2,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MILITARY_SOLDIER_SQUAD_WEAP3,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_SQUAD_WEAP4,2x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MILITARY_SOLDIER_WEAP1,1x A280 Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_WEAP2,1x MiniMag PTL Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_MILITARY_SOLDIER_WEAP3,1x DLT-20A Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_MILITARY_SOLDIER_WEAP4,1x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_COMPANY_WEAP1,10x Light AV Laser Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_COMPANY_WEAP2,10x Light Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_MOVE,Speed: 1.4
TEXT_TOOLTIP_MINOR_SHELL_HUTT_SQUAD_WEAP1,5x Light AV Laser Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_SQUAD_WEAP2,5x Light Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_WEAP1,1x Light AV Laser Cannon: 1 / 1.0s / 240m
TEXT_TOOLTIP_MINOR_SHELL_HUTT_WEAP2,1x Light Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY,A heavier configuration of the Minstrel-class vessel, equipped with weapons suited for engaging other capital ships. Sees use as a flying fortress or personal luxury vessel by individual Hutts. While well-protected for the size, it is somewhat slow.
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_CW_WEAP1,2x Medium Turbolasers: 2 / 3.33s / 6.0km
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_GCW_WEAP1,2x Light Turbolasers: 2 / 3.33s / 5.0km
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_GCW_WEAP2,2x Light Ion Cannons: 2 / 3.33s / 5.0km
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_HULL,Hull: 900 (Corvette)
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_SHIELD,Shields: 700 / [14/R] (Corvette)
TEXT_TOOLTIP_MINSTREL_YACHT_HEAVY_SQUADRON,Fighters: 0.5 / 0
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT,A smaller version of the Minstrel-class vessel, equipped with laser cannons for protection from smaller craft and incoming projectiles. Sees use as a personal courier or mobile command centre by individual Hutts. Like other designs in the series, it is well-protected for the size but slow.
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT_HULL,Hull: 700 (Corvette)
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.4
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT_PD,Point-Defense: 1 / 0.63s / 1.75km
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT_SHIELD,Shields: 600 / [12/R] (Corvette)
TEXT_TOOLTIP_MINSTREL_YACHT_LIGHT_WEAP1,3x Heavy Dual Rapid Laser Cannons: 6 / 5.0s / 4.0km
TEXT_TOOLTIP_MON_MOTHMA_01,Mon Mothma was a human female politician and revolutionary leader who served in the Galactic Senate and Imperial Senate as the representative of Chandrila, the leader of the Alliance to Restore the Republic, and the first Chancellor of the New Republic.
TEXT_TOOLTIP_MORNINGSTAR_A,Superiority fighter configuration of a tri-winged picket fighter originally produced by Kuat Systems Engineering for planetary defence, but more popular among mercenary and criminal groups for its varied capabilities. The Morningstar-A model packs a small battery of heavy missiles to engage any type of target in addition to its laser cannons.
TEXT_TOOLTIP_MORNINGSTAR_B,Dogfighter configuration of a tri-winged picket fighter originally produced by Kuat Systems Engineering for planetary defence, but more popular among mercenary and criminal groups for its varied capabilities. The Morningstar-B model packs additional laser cannons to deal with other fighter craft, but lacks munitions for use against other target types.
TEXT_TOOLTIP_MORNINGSTAR_C,Bomber configuration of a tri-winged picket fighter originally produced by Kuat Systems Engineering for planetary defence, but more popular among mercenary and criminal groups for its varied capabilities. The Morningstar-C model has a series of munitions modules intended for attacking enemy capital ships but is not as effective engaging other fighters as the A and B models.
TEXT_TOOLTIP_MUNIFICENT,Designed by the Intergalactic Banking Clan as a mobile communications, transport and debt-enforcement vessel. Its modular and skeletal design causes it to be fragile but easy to produce, traits which led to it becoming the backbone of the CIS fleet in the Clone Wars, and assorted usage afterwards. Has a significant amount of firepower but does not hold up when taking damage.
